object	timestamp	instances	dimension0	dimension1	dimension2	dimension3	dimension4	pr
AgA	0	AgA0	1124	3524	6247	5137	4401	0.0869565217391304
AgA	0	AgA1	1033	3559	6301	5197	4310	0.108695652173913
AgA	0	AgA2	1006	3322	6391	5182	4380	0.0217391304347826
AgA	0	AgA3	950	3440	6088	5101	4507	0.152173913043478
AgA	0	AgA4	987	3393	6217	5262	4500	0.0652173913043478
AgA	0	AgA5	949	3585	6354	5351	4445	0.108695652173913
AgA	0	AgA6	965	3421	6310	5109	4566	0.173913043478261
AgA	0	AgA7	919	3443	6190	5234	4247	0.0217391304347826
AgA	0	AgA8	1050	3540	6270	5223	4482	0.173913043478261
AgA	0	AgA9	973	3594	6293	5177	4228	0.0869565217391304
jTp	1	jTp0	5840	1233	2268	5903	2303	0.0416666666666667
jTp	1	jTp1	5836	1172	2491	5693	2579	0.104166666666667
jTp	1	jTp2	5906	1081	2311	5877	2571	0.0416666666666667
jTp	1	jTp3	6105	921	2464	5970	2630	0.0208333333333333
jTp	1	jTp4	5926	942	2415	5686	2406	0.0833333333333333
jTp	1	jTp5	5889	1175	2546	6000	2500	0.0416666666666667
jTp	1	jTp6	5987	940	2267	5810	2338	0.145833333333333
jTp	1	jTp7	5811	1148	2521	5952	2555	0.1875
jTp	1	jTp8	5921	1226	2315	5748	2300	0.1875
jTp	1	jTp9	6011	1124	2379	5722	2566	0.145833333333333
sca	2	sca0	1561	2143	3192	5449	2868	0.176470588235294
sca	2	sca1	1510	2237	3420	5255	3188	0.0392156862745098
sca	2	sca2	1546	2301	3238	5412	2886	0.0980392156862745
sca	2	sca3	1586	2065	3290	5209	3003	0.0196078431372549
sca	2	sca4	1330	2269	3326	5318	2870	0.0588235294117647
sca	2	sca5	1433	2220	3145	5416	3187	0.137254901960784
sca	2	sca6	1573	2122	3383	5484	2994	0.0784313725490196
sca	2	sca7	1498	2241	3357	5322	2969	0.176470588235294
sca	2	sca8	1447	2108	3172	5173	3078	0.137254901960784
sca	2	sca9	1660	2053	3173	5384	3084	0.0784313725490196
HnS	3	HnS0	2092	2798	6115	3399	2021	0.0930232558139535
HnS	3	HnS1	1910	3024	6153	3584	2020	0.0232558139534884
HnS	3	HnS2	1914	2832	6103	3541	1763	0.13953488372093
HnS	3	HnS3	2167	3070	6315	3537	1929	0.186046511627907
HnS	3	HnS4	2011	3040	6256	3367	1993	0.162790697674419
HnS	3	HnS5	1988	3064	6344	3694	2013	0.162790697674419
HnS	3	HnS6	1963	2751	6189	3695	2102	0.0232558139534884
HnS	3	HnS7	2047	3024	6227	3562	1827	0.0930232558139535
HnS	3	HnS8	2073	2950	6347	3390	1966	0.0465116279069767
HnS	3	HnS9	2039	2996	6315	3427	1902	0.0697674418604651
QbU	4	QbU0	3443	474	5206	2167	3665	0.145454545454545
QbU	4	QbU1	3583	743	5407	2279	3706	0.127272727272727
QbU	4	QbU2	3331	673	5112	2330	3747	0.0909090909090909
QbU	4	QbU3	3409	726	5321	2242	3592	0.0545454545454545
QbU	4	QbU4	3345	480	5282	2129	3613	0.0727272727272727
QbU	4	QbU5	3276	717	5146	2084	3768	0.0727272727272727
QbU	4	QbU6	3448	720	5244	2184	3796	0.0363636363636364
QbU	4	QbU7	3404	813	5171	2091	3590	0.145454545454545
QbU	4	QbU8	3291	765	5389	2363	3642	0.0909090909090909
QbU	4	QbU9	3556	503	5128	2383	3729	0.163636363636364
nVN	5	nVN0	6006	3346	1095	5019	653	0.0810810810810811
nVN	5	nVN1	5964	3330	980	5058	837	0.135135135135135
nVN	5	nVN2	6070	3524	1129	4902	705	0.135135135135135
nVN	5	nVN3	6254	3237	1082	4895	523	0.0540540540540541
nVN	5	nVN4	6027	3524	1212	4849	790	0.0540540540540541
nVN	5	nVN5	6268	3357	1269	5109	843	0.0810810810810811
nVN	5	nVN6	6225	3439	1051	4826	778	0.0540540540540541
nVN	5	nVN7	5977	3284	1208	5108	574	0.162162162162162
nVN	5	nVN8	6276	3304	1187	4886	791	0.216216216216216
nVN	5	nVN9	6073	3408	1047	4913	566	0.027027027027027
oBv	6	oBv0	1365	4334	3904	3941	3213	0.153846153846154
oBv	6	oBv1	1234	4437	3863	3944	3299	0.0384615384615385
oBv	6	oBv2	1354	4224	3835	3973	3435	0.115384615384615
oBv	6	oBv3	1251	4389	4077	3967	3252	0.0769230769230769
oBv	6	oBv4	1389	4287	4101	3739	3306	0.153846153846154
oBv	6	oBv5	1410	4308	4145	3731	3207	0.0961538461538462
oBv	6	oBv6	1253	4394	3817	4033	3469	0.0961538461538462
oBv	6	oBv7	1389	4293	3939	4026	3388	0.0769230769230769
oBv	6	oBv8	1535	4131	4141	3761	3303	0.0576923076923077
oBv	6	oBv9	1276	4285	4039	3951	3392	0.134615384615385
Wrt	7	Wrt0	705	5037	1585	1812	6260	0.18
Wrt	7	Wrt1	727	4986	1631	1750	6466	0.02
Wrt	7	Wrt2	690	4853	1754	1605	6370	0.14
Wrt	7	Wrt3	878	4915	1772	1712	6550	0.06
Wrt	7	Wrt4	922	5085	1538	1517	6368	0.06
Wrt	7	Wrt5	993	4822	1760	1617	6209	0.08
Wrt	7	Wrt6	874	4799	1543	1748	6399	0.12
Wrt	7	Wrt7	964	4819	1776	1740	6292	0.18
